id;propety_type_id;property_type;property_name;property_value
1;90047;CATERGORY;architect;Tasty
2;69258;CATERGORY;Plastic SQL;whiteboard
3;32777;CATERGORY;compressing robust;bypassing
4;13748;PRODUCTVARIANT;Facilitator Practical global;override connecting transmit
5;63751;PRODUCTVARIANT;Robust;Drive
6;58041;PRODUCTVARIANT;Sausages;Soap integrated policy
7;7405;CATERGORY;compressing;Producer
8;9450;CATERGORY;bypass;Usability architecture
9;52119;PRODUCTVARIANT;quantifying Chief;red
10;38091;PRODUCTVARIANT;Riel Human;calculating client-driven calculating
