id;property_name;property_description;mandetory;property_type;plp_display_name;pdp_display_name;parent_attribute_id;display_order
1;Buckinghamshire;ROI Marketing;false;PRODUCTVARIANT;dynamic mindshare;experiences;43731;22977
2;syndicate;CSS Producer Texas;true;CATERGORY;Sleek;transmitter;2670;31560
3;ivory Kazakhstan infrastructure;Orchestrator Representative;true;CATERGORY;Personal Global Rubber;granular microchip Buckinghamshire;8522;35457
4;Florida quantify;out-of-the-box Shirt Consultant;false;PRODUCTVARIANT;Internal Electronics;Frozen Soft architectures;55708;68385
5;mobile;bypass International;false;PRODUCTVARIANT;Direct Paradigm;e-services;22404;75828
6;Malaysia;Mississippi Small;true;CATERGORY;front-end;e-tailers;99979;4907
7;Brand Computer;Chief;false;PRODUCTVARIANT;e-business virtual Director;toolset Industrial SMS;85809;36997
8;incentivize;exploit Fish Buckinghamshire;false;CATERGORY;Centralized Tuna;bandwidth capability;49411;89281
9;Vermont;Associate alarm;false;PRODUCTVARIANT;Plastic;service-desk Singapore bus;65853;12638
10;markets New;Berkshire value-added;false;PRODUCTVARIANT;Fresh;grow;43918;83240
