id;property_value;property_description;plp_display_name;pdp_display_name;display_order
1;Configuration;emulation Tanzanian California;Architect;multi-state channels;75606
2;microchip;Steel Alaska invoice;Pa'anga Jamaican;Response;5806
3;Account applications;Kansas Computers Frozen;sensor Tasty extensible;connecting Senegal;73967
4;Corporate Borders Account;Borders;Soft Card;Morocco bottom-line;76835
5;online Rhode FTP;gold sticky;program calculating withdrawal;online bluetooth Singapore;22104
6;Shoes Direct vertical;Personal;Principal;Synergized;17722
7;bypassing;motivating;Keyboard wireless;Card Rustic;82867
8;up Park envisioneer;Mall Agent hack;Sports web-enabled;Belize;59316
9;virtual niches;action-items;Park Sweden Home;Plastic Forint;71905
10;Assurance generation Shore;Strategist;parsing Bedfordshire;Bedfordshire Shoes;47316
