id;quantity;product_variant_id;price;created_time;updated_time;created_by;updated_by
1;31275;21236;16498;2022-06-13T04:38:32;2022-06-12T20:55:12;Intelligent;haptic
2;25020;71657;28989;2022-06-13T08:09:02;2022-06-13T05:40:30;Small;parse Buckinghamshire auxiliary
3;37017;41183;57861;2022-06-13T03:17:34;2022-06-12T15:16:12;wireless;SDR Michigan Utah
4;72624;96178;3440;2022-06-13T01:53:27;2022-06-12T19:40:08;Kuwait orchid Fantastic;District
5;92610;72184;77589;2022-06-12T10:48:15;2022-06-13T05:28:07;haptic model New;Bedfordshire
6;74197;67382;56045;2022-06-12T09:01:47;2022-06-13T08:05:35;connecting Arkansas;Massachusetts Rupee
7;45527;73033;19802;2022-06-12T21:31:52;2022-06-12T15:33:45;withdrawal;Taka
8;59276;98212;29210;2022-06-12T17:14:46;2022-06-12T18:28:03;Interface;Fantastic Regional
9;68480;66359;39621;2022-06-12T16:42:33;2022-06-12T16:43:03;hack;Lodge digital
10;69148;87437;20219;2022-06-12T14:02:44;2022-06-13T02:10:53;Bedfordshire;online orchid
