id;cart_total_quantity;cart_total_price;billing_address_id;shipping_address_id;delivery_charge;coupon_code;cart_final_total;created_time;updated_time;created_by;updated_by
1;969;90245;67567;33530;47286;Incredible Re-engineered Rustic;93032;2022-06-13T07:24:00;2022-06-12T09:22:26;Tunnel transmitter;withdrawal
2;13855;47741;10556;72969;8330;Car;21847;2022-06-12T17:06:22;2022-06-12T10:03:33;Squares open-source;Fresh
3;82633;24857;98224;28866;95489;invoice Cotton Tennessee;26010;2022-06-12T08:58:23;2022-06-12T08:56:16;Integration;flexibility Producer
4;99961;37746;44085;94594;34335;architectures;92568;2022-06-13T06:35:58;2022-06-12T13:01:20;XML generating;Bedfordshire white
5;5912;98097;48646;80891;25935;bus;83911;2022-06-12T11:14:46;2022-06-12T13:17:13;invoice deposit Loan;solid Maryland
6;558;14167;66675;58456;8466;Ergonomic;70123;2022-06-12T21:47:40;2022-06-12T23:37:27;Refined Mill;content-based Investor
7;38092;55591;82517;48776;98743;Concrete bypass;21464;2022-06-12T19:29:13;2022-06-13T02:21:07;ADP Designer Grocery;Intuitive Open-architected
8;24819;99620;38940;48806;67513;silver background Future;39019;2022-06-12T11:43:20;2022-06-13T06:11:52;Frozen JBOD;Savings
9;85200;19230;76177;9108;84811;Cotton e-tailers;58542;2022-06-13T01:49:31;2022-06-12T20:01:53;EXE;connect Borders Chair
10;64484;5423;42778;17049;61515;Sudanese;82305;2022-06-13T05:46:07;2022-06-13T07:06:40;wireless;Fish Grocery Chips
