id;title;parentcategory;level;description;category_status
1;Table;31264;Versatile Integration bypassing;metrics e-commerce Fresh;true
2;XML Chips Kentucky;69811;Electronics;Soap Salad killer;false
3;Hat;58784;Tasty methodologies Realigned;Chicken Overpass;true
4;Music Investment;33352;Account Front-line plug-and-play;Specialist;false
5;California;52826;Product Loan connecting;withdrawal networks;true
6;Baby Borders;64806;generation Mouse Island;driver leading-edge TCP;true
7;pixel Lithuania;92816;salmon circuit Optimization;uniform Sleek;false
8;XML open global;97076;Reactive Arizona Chicken;Account auxiliary;false
9;orange synergy Granite;32414;Granite bypassing;Palladium;true
10;Human protocol Pants;93201;digital silver;quantify;true
