id;product_id;category_id;deal_start_time;deal_end_time;priority;created_time;updated_time;created_by;updated_by
1;3163;94474;2022-06-12T19:41:20;2022-06-12T21:26:22;63190;2022-06-13T03:13:17;2022-06-13T04:08:28;Buckinghamshire Inverse Dalasi;function Facilitator Chicken
2;37725;1890;2022-06-12T21:45:01;2022-06-12T11:39:27;23305;2022-06-12T12:39:46;2022-06-12T13:17:59;Points morph Pines;Profound encryption North
3;73292;22652;2022-06-12T08:34:59;2022-06-12T10:45:57;93218;2022-06-12T16:58:18;2022-06-13T04:43:09;bluetooth deposit;Representative
4;75598;22945;2022-06-13T03:27:50;2022-06-12T20:52:20;30995;2022-06-12T08:38:36;2022-06-12T17:05:16;Peso;Lock Orchard
5;13374;53682;2022-06-13T05:48:56;2022-06-12T22:35:25;67211;2022-06-12T20:00:09;2022-06-12T12:43:12;static;Kenya XML orchid
6;71207;51184;2022-06-12T21:00:15;2022-06-12T10:42:48;81525;2022-06-13T03:04:04;2022-06-12T10:43:29;Lesotho;Avon
7;56873;85884;2022-06-12T09:45:22;2022-06-12T10:28:50;8849;2022-06-13T00:20:40;2022-06-13T01:47:54;state Security;Singapore
8;61790;25515;2022-06-13T03:25:11;2022-06-12T13:06:33;3885;2022-06-13T03:50:58;2022-06-13T06:14:55;optimize solutions Handcrafted;alliance
9;79775;22189;2022-06-12T17:11:52;2022-06-12T09:10:51;1601;2022-06-12T19:40:28;2022-06-12T23:33:03;JBOD asynchronous sexy;connecting task-force
10;45520;52907;2022-06-12T11:06:18;2022-06-12T13:31:35;99015;2022-06-13T05:24:54;2022-06-13T06:00:52;Village navigating;Concrete Bedfordshire Berkshire
