id;cart_transaction_id;order_status;order_date;created_time;updated_time;created_by;updated_by
1;48469;SHIPPED;2022-06-12T14:26:14;2022-06-12T14:25:02;2022-06-12T14:22:37;synthesize Orchestrator North;salmon Legacy Berkshire
2;48734;OUT_FOR_DELIVERY;2022-06-12T20:13:24;2022-06-12T09:05:05;2022-06-12T17:26:23;circuit Account Outdoors;integrate e-commerce
3;73814;OUT_FOR_DELIVERY;2022-06-12T17:26:35;2022-06-12T20:45:27;2022-06-12T18:55:45;Creek hack Path;Finland Small generate
4;67523;SHIPPED;2022-06-12T09:23:29;2022-06-13T01:17:49;2022-06-12T15:31:42;SDD Grove;tan
5;45390;ORDERED;2022-06-13T01:21:44;2022-06-12T10:30:13;2022-06-12T23:21:42;Brand;impactful protocol programming
6;49498;DELIVERED;2022-06-12T20:56:09;2022-06-13T04:23:11;2022-06-12T21:51:06;Plains;wireless Algeria TCP
7;56299;OUT_FOR_DELIVERY;2022-06-12T19:01:26;2022-06-12T09:20:35;2022-06-12T17:14:52;even-keeled Garden Lats;invoice bypassing Table
8;99117;SHIPPED;2022-06-12T14:38:24;2022-06-12T08:58:03;2022-06-13T00:12:13;initiatives Personal hacking;Bacon Tasty Computer
9;35275;DELIVERED;2022-06-12T20:44:16;2022-06-13T00:33:52;2022-06-12T13:43:49;red;mobile Corporate
10;77345;ORDERED;2022-06-12T08:35:37;2022-06-12T08:23:38;2022-06-12T12:13:33;payment;Utah bypassing
