id;amount;total_balance;transaction_date;transaction_type;client_transaction_id;client_name
1;80305;25684;2022-06-13T06:06:19;DEBIT;82518;LEDGER_CREDIT_FINANCE
2;81684;85601;2022-06-13T07:21:36;CREDIT;11125;ORDERDEBIT
3;10589;55413;2022-06-12T23:39:15;DEBIT;13896;LEDGER_CREDIT_PG
4;67403;49405;2022-06-12T11:23:17;DEBIT;96016;LEDGER_CREDIT_PG
5;97751;4826;2022-06-13T02:39:35;DEBIT;72885;LEDGER_CREDIT_PG
6;18034;75805;2022-06-12T23:43:42;CREDIT;16464;LEDGER_CREDIT_FINANCE
7;36024;10192;2022-06-12T08:53:19;DEBIT;92866;ORDERDEBIT
8;3176;62486;2022-06-13T04:19:33;DEBIT;91518;LEDGER_CREDIT_FINANCE
9;21621;44681;2022-06-12T16:03:23;DEBIT;90645;LEDGER_CREDIT_FINANCE
10;8476;30116;2022-06-12T14:17:55;DEBIT;89944;LEDGER_CREDIT_FINANCE
