id;amount;transaction_type;ledger_transaction_status;client_name;created_time;updated_time;created_by;updated_by
1;47923;DEBIT;FAILURE;LEDGER_CREDIT_PG;2022-06-12T18:53:44;2022-06-12T09:38:27;Account markets clicks-and-mortar;web-enabled Washington override
2;48097;CREDIT;PENDING;LEDGER_CREDIT_PG;2022-06-12T10:31:54;2022-06-13T05:31:30;Salad violet;Officer
3;31859;DEBIT;SUCCESSFUL;LEDGER_CREDIT_PG;2022-06-13T06:20:05;2022-06-12T16:05:10;Rico redefine;Passage Concrete
4;85705;DEBIT;SUCCESSFUL;ORDERDEBIT;2022-06-12T20:01:00;2022-06-13T05:24:28;supply-chains;reboot
5;64621;CREDIT;PENDING;LEDGER_CREDIT_PG;2022-06-12T09:56:36;2022-06-12T23:30:15;Intelligent;Checking
6;12073;DEBIT;PENDING;LEDGER_CREDIT_PG;2022-06-12T11:15:36;2022-06-13T00:02:14;overriding Berkshire;Road Shoes
7;76609;CREDIT;PENDING;LEDGER_CREDIT_FINANCE;2022-06-12T12:47:19;2022-06-13T06:53:44;generate bandwidth;supply-chains bypassing
8;45557;DEBIT;PENDING;LEDGER_CREDIT_FINANCE;2022-06-13T07:40:07;2022-06-12T21:46:30;Chicken Interactions Beauty;bandwidth-monitored Front-line Soft
9;52626;DEBIT;FAILURE;ORDERDEBIT;2022-06-13T04:15:32;2022-06-13T04:38:48;EXE bluetooth;Loan
10;84414;DEBIT;SUCCESSFUL;ORDERDEBIT;2022-06-12T08:32:22;2022-06-13T02:53:33;Savings SCSI e-business;Plastic generate middleware
