id;description;order_tracking_status;created_time;updated_time;created_by;updated_by
1;Designer 24/7 French;OUT_FOR_DELIVERY;2022-06-12T16:20:52;2022-06-12T20:29:58;Secured deposit;IB plum turquoise
2;next engine;IN_TRANSIT;2022-06-13T00:26:43;2022-06-12T10:27:57;visualize;IB
3;Hawaii Interactions benchmark;IN_TRANSIT;2022-06-12T21:01:33;2022-06-12T17:11:51;syndicate Assurance;Minnesota Solutions
4;Delaware;ORDERED;2022-06-12T12:01:01;2022-06-12T23:12:06;virtual Representative Checking;Kroon Benin
5;copying;OUT_FOR_DELIVERY;2022-06-13T02:00:28;2022-06-12T13:15:11;Account Bedfordshire systematic;Account
6;client-driven monitor;IN_TRANSIT;2022-06-12T20:54:23;2022-06-13T04:31:21;Rial;Coordinator
7;encryption;OUT_FOR_DELIVERY;2022-06-13T05:09:17;2022-06-13T03:39:26;Bhutanese;indexing Soap
8;Optimization innovate Krona;IN_TRANSIT;2022-06-13T06:38:00;2022-06-12T19:55:59;enterprise Loan Birr;dynamic
9;Rustic optical Bedfordshire;IN_TRANSIT;2022-06-13T06:49:07;2022-06-12T10:05:22;Liaison Key;Islands
10;real-time;IN_TRANSIT;2022-06-13T04:26:47;2022-06-13T05:29:55;redundant De-engineered;generation
