id;origin_location;delivery_pincode;weight;deliverable;num_of_days_to_delivery;created_time;updated_time;created_by;updated_by
1;99501;1589;LIGHT;false;2022-06-13T03:09:20;2022-06-12T09:17:17;2022-06-12T11:18:16;iterate Plastic Gabon;Towels Union
2;48852;36986;LIGHT;true;2022-06-13T01:15:20;2022-06-13T01:45:20;2022-06-12T22:09:08;withdrawal B2B;proactive mobile
3;43215;33864;MEDIUM;true;2022-06-12T21:03:45;2022-06-13T04:12:37;2022-06-12T22:18:48;Metal;Turkish compressing
4;95173;34400;MEDIUM;false;2022-06-13T04:13:02;2022-06-12T19:30:57;2022-06-12T16:49:02;transmitting strategic;Fresh Facilitator withdrawal
5;17810;17087;LIGHT;false;2022-06-13T05:51:01;2022-06-12T08:21:58;2022-06-12T11:43:17;primary streamline Wooden;Wooden
6;64180;37793;MEDIUM;false;2022-06-13T03:54:26;2022-06-12T20:29:02;2022-06-13T00:58:24;Argentina;Automotive
7;62494;82221;HEAVY;false;2022-06-12T13:31:03;2022-06-12T23:20:17;2022-06-12T13:37:49;Rupee;array
8;56211;26496;HEAVY;false;2022-06-12T19:24:42;2022-06-12T17:10:11;2022-06-12T10:51:13;CSS;Savings
9;60163;6042;MEDIUM;true;2022-06-12T13:22:55;2022-06-13T04:38:41;2022-06-12T12:15:51;mission-critical Metal invoice;Chief
10;22570;67458;MEDIUM;false;2022-06-12T21:46:33;2022-06-12T12:11:33;2022-06-12T10:50:56;lavender Bhutanese protocol;firewall Legacy
