id;category_id;view_count;sold_quantity;sold_date;created_time;updated_time;created_by;updated_by
1;44128;15723;14561;2022-06-13T01:15:03;2022-06-12T18:56:00;2022-06-12T18:16:37;Egypt;Bedfordshire Investor
2;21393;15923;86870;2022-06-12T14:12:13;2022-06-13T02:33:40;2022-06-13T05:12:54;Buckinghamshire Towels;Rustic engineer
3;30554;67312;37730;2022-06-13T05:45:58;2022-06-12T13:25:23;2022-06-12T11:45:05;Czech Associate Toys;JSON Chips
4;59399;5646;47123;2022-06-13T00:44:39;2022-06-12T19:18:20;2022-06-13T01:05:42;THX Manager innovate;e-business alarm Alabama
5;70402;43190;18017;2022-06-12T20:17:22;2022-06-12T13:27:29;2022-06-12T22:18:21;markets Technician infrastructure;Polarised Customer haptic
6;22232;41485;91747;2022-06-12T13:29:38;2022-06-13T01:43:17;2022-06-13T07:36:31;Central;Intelligent Infrastructure Crossroad
7;83045;41721;26938;2022-06-13T01:45:46;2022-06-12T20:47:47;2022-06-12T20:41:00;paradigms leverage;Pizza
8;30656;47041;44512;2022-06-12T16:58:46;2022-06-12T18:21:00;2022-06-13T07:04:45;index;demand-driven
9;6732;60441;94488;2022-06-12T19:55:02;2022-06-12T17:10:46;2022-06-12T22:10:28;modular full-range;driver
10;85333;41304;3313;2022-06-13T06:00:19;2022-06-12T09:42:46;2022-06-12T09:46:17;Cotton neural;Licensed
