id;brand_name;product_name;model_number;product_status;min_order_quantity;max_order_quantity;tags;created_time;updated_time;created_by;updated_by
1;Steel;Assistant;cross-platform Principal;false;34790;81149;Computer Legacy deposit;2022-06-12T20:56:27;2022-06-12T11:20:28;actuating deposit;Soap withdrawal
2;Metical Incredible;Union compressing;initiative Generic;false;54278;48018;neutral;2022-06-13T07:12:20;2022-06-13T04:15:22;Wooden;Identity throughput Village
3;distributed indigo JSON;Personal Steel;solutions;false;47574;66238;Rubber Chips;2022-06-13T02:49:42;2022-06-13T04:21:08;Tunnel;Intelligent
4;pixel methodical quantifying;rich South Forward;Stand-alone Fantastic Sleek;false;86012;25082;lavender application grey;2022-06-13T00:37:40;2022-06-12T11:48:02;Customer;Ergonomic Ergonomic
5;Handcrafted;relationships;Chair solution Zimbabwe;false;16003;67875;Account transmit Incredible;2022-06-12T10:56:52;2022-06-12T11:52:34;Martinique Executive Down-sized;transitional
6;bypassing Chief interactive;online Home Vista;Sausages Tuna;false;32685;70125;Practical Ball project;2022-06-12T12:10:13;2022-06-13T06:10:25;Gateway Virtual;index Account Concrete
7;Soft;deposit clear-thinking focus;Loan;true;10558;606;Congo;2022-06-12T09:05:41;2022-06-13T01:41:34;generating;portals Berkshire intuitive
8;Concrete Account Account;Functionality Small adapter;Gloves;true;75149;11276;back-end application;2022-06-12T22:20:20;2022-06-12T10:54:30;Concrete Venezuela JBOD;mint
9;withdrawal Facilitator Nebraska;circuit Regional JBOD;Directives;true;55362;36826;SCSI blue;2022-06-12T22:37:59;2022-06-12T18:12:16;ROI Account;Cross-platform withdrawal primary
10;Product;Palladium Lebanon;Avon Nevada clicks-and-mortar;true;5378;92734;connect blue;2022-06-12T20:46:11;2022-06-12T11:53:46;Computer PCI;Visionary Baby teal
