id;location;stock_quantity;stock_status;created_time;updated_time;created_by;updated_by
1;9328;75413;true;2022-06-12T14:17:19;2022-06-12T20:21:13;syndicate blue;Reverse-engineered
2;36304;71187;true;2022-06-12T21:32:00;2022-06-13T04:25:19;Mountains;Cheese Rupee quantifying
3;94375;83728;true;2022-06-12T22:47:08;2022-06-13T05:39:50;EXE Sleek Manors;black
4;48465;49162;true;2022-06-12T16:45:15;2022-06-12T10:39:40;Handcrafted Pound;fuchsia payment THX
5;76273;39828;false;2022-06-12T16:23:57;2022-06-12T18:18:49;protocol;Granite
6;34638;2927;false;2022-06-12T14:08:20;2022-06-13T05:06:51;Berkshire Bahrain;encoding Books Buckinghamshire
7;75843;27914;false;2022-06-12T20:38:09;2022-06-12T13:15:48;Beauty markets;Hat SDD Tobago
8;17084;84701;true;2022-06-12T23:44:22;2022-06-13T00:08:21;Bedfordshire;vortals Sleek
9;26109;33969;false;2022-06-13T03:37:50;2022-06-12T13:19:38;next-generation pixel Soap;Indiana systems
10;56912;98829;true;2022-06-12T14:42:01;2022-06-12T22:54:36;AI disintermediate;Jewelery Program violet
