id;product_variant_id;product_price;deal_price;mrp;description;title;images;created_time;updated_time;created_by;updated_by
1;72901;4072;73313;14465;virtual Optimization circuit;Marketing card;Loan Pound;2022-06-12T16:55:14;2022-06-12T16:28:33;pink;Account
2;4474;56768;83673;29597;platforms Pizza Personal;Up-sized SAS Colorado;Unbranded neural Saudi;2022-06-12T08:31:01;2022-06-12T10:03:15;Pizza client-server Global;driver Cambridgeshire
3;50307;4959;80106;56505;haptic Borders Fish;Specialist Mission Mews;Agent;2022-06-12T18:03:55;2022-06-13T04:03:49;Versatile e-markets;technologies Sharable
4;91595;41572;19581;36977;Robust Euro Operative;capacitor interactive;GB;2022-06-12T21:14:04;2022-06-12T14:23:22;matrix Netherlands;leading Rial
5;49520;32140;3938;66135;Soft invoice;Shoes ubiquitous quantify;Alaska mindshare;2022-06-12T17:30:46;2022-06-12T16:11:41;6th;Personal haptic
6;75909;35804;52462;77172;Car;convergence;innovate one-to-one;2022-06-12T18:59:38;2022-06-12T12:38:49;Gorgeous architectures;Branding index
7;24042;4705;93312;41463;maximized Grocery Indiana;Consultant Steel;Regional Guyana Future;2022-06-12T17:35:18;2022-06-12T13:03:02;Decentralized;Mall
8;62463;49612;27598;95781;impactful relationships optical;Account partnerships azure;Buckinghamshire grid-enabled local;2022-06-12T22:16:34;2022-06-12T12:02:56;Program deliver circuit;Functionality Berkshire
9;69921;99153;51796;46124;Supervisor Granite;hack Station Palladium;Louisiana quantify Landing;2022-06-13T04:15:43;2022-06-13T07:55:52;Motorway haptic;generating Way infomediaries
10;3498;52588;12551;79222;Mauritania;e-markets Awesome Sports;redefine;2022-06-12T12:04:22;2022-06-12T17:24:24;USB SDR;Integration Personal analyzing
