id;user_id;search_text;search_count;created_time;updated_time;created_by;updated_by
1;13332;CSS EXE;42233;2022-06-12T23:50:56;2022-06-12T09:21:27;Account streamline Panama;Associate Electronics cross-platform
2;3557;Organized Internal Parkway;14171;2022-06-13T02:16:50;2022-06-12T14:06:13;bleeding-edge grow invoice;Avon
3;64751;Computers;66940;2022-06-12T21:23:57;2022-06-13T06:21:09;Automotive Compatible auxiliary;AI turquoise Granite
4;22410;Senior navigate Personal;46258;2022-06-13T07:19:33;2022-06-13T06:29:25;coherent Rapids;bandwidth-monitored Internal
5;46218;Cotton Future-proofed;88532;2022-06-12T16:01:46;2022-06-13T00:55:29;Configurable Handcrafted Branding;Operative
6;3681;Fantastic;3171;2022-06-12T11:53:16;2022-06-12T20:19:27;forecast withdrawal;Ergonomic
7;38171;Wooden;85692;2022-06-12T19:57:14;2022-06-12T11:14:17;Tactics Keyboard;Unbranded
8;17097;Soft Cotton optical;39908;2022-06-12T11:47:46;2022-06-12T13:40:36;Home Internal;models Franc
9;71505;deliver blue Concrete;93822;2022-06-12T12:14:58;2022-06-12T20:14:41;Rhode architecture multi-byte;Handcrafted Malaysia deploy
10;51495;Checking Shoes Borders;81589;2022-06-13T00:28:43;2022-06-12T20:31:11;structure attitude-oriented Solutions;Dinar Handcrafted withdrawal
