id;user_id;product_id;category_id;priority;created_time;updated_time;created_by;updated_by
1;95823;43485;40416;64976;2022-06-13T01:44:08;2022-06-13T05:28:54;Re-engineered;sexy
2;35700;92972;35603;92032;2022-06-12T16:06:02;2022-06-12T11:34:46;Mills;Station Fish
3;72368;4084;29522;38112;2022-06-12T23:51:33;2022-06-13T02:32:51;Mission olive;Pizza Chips Vermont
4;28675;61636;49589;5756;2022-06-13T05:07:23;2022-06-12T15:12:41;Card;Alabama auxiliary
5;3117;55840;34983;91665;2022-06-12T20:55:45;2022-06-12T12:20:36;Automated Creative;SCSI expedite
6;83142;6171;1049;63880;2022-06-13T00:01:17;2022-06-12T20:28:42;Cotton;Direct Tasty web
7;52968;8856;90884;96143;2022-06-12T08:43:44;2022-06-12T17:54:01;6th;Director Producer
8;88167;96527;99000;29526;2022-06-13T03:23:59;2022-06-12T20:07:31;Overpass Vermont;Checking
9;73411;45975;64550;89654;2022-06-12T13:07:02;2022-06-12T15:37:06;violet;New ubiquitous
10;33475;93296;72448;70181;2022-06-13T03:14:45;2022-06-12T20:36:01;Pound;utilisation Personal
