id;product_id;category_id;priority;created_time;updated_time;created_by;updated_by
1;9970;19488;46535;2022-06-12T08:42:12;2022-06-12T15:41:44;invoice human-resource;Checking
2;28600;45720;32214;2022-06-13T04:52:14;2022-06-12T13:57:42;port orchid intermediate;matrix eco-centric regional
3;71810;56429;58326;2022-06-12T13:19:22;2022-06-12T14:38:53;monitor;Sleek capacity
4;50601;12833;54980;2022-06-12T16:27:19;2022-06-12T20:41:52;Flats Kids Account;invoice
5;91550;86380;72795;2022-06-12T15:24:36;2022-06-13T03:58:36;hacking Cambridgeshire Mouse;Programmable
6;64163;21046;38850;2022-06-13T05:41:43;2022-06-12T13:21:51;utilisation;program deposit multimedia
7;62641;59693;38443;2022-06-13T03:33:29;2022-06-12T12:13:13;Health Automotive;wireless XSS
8;50187;39086;81882;2022-06-12T14:13:13;2022-06-12T11:46:14;Borders indexing;Administrator Customer-focused
9;23620;98798;28668;2022-06-13T05:36:03;2022-06-13T01:28:59;Devolved;installation quantifying mobile
10;32198;29801;87249;2022-06-12T13:11:47;2022-06-12T09:48:17;unleash Island;Steel Loan Cotton
