id;product_id;category_id;sold_quantity;view_count;sold_date;created_time;updated_time;created_by;updated_by
1;46490;3050;17012;89253;2022-06-12T23:44:28;2022-06-12T13:15:31;2022-06-12T10:36:43;Krona;parsing synergistic leading-edge
2;95820;63734;91736;26996;2022-06-13T02:38:29;2022-06-12T12:15:45;2022-06-12T22:25:07;Books override compelling;input
3;95360;894;98478;8865;2022-06-12T10:31:29;2022-06-12T10:33:35;2022-06-12T11:19:00;Salad protocol Parkway;National
4;80963;20400;16587;89350;2022-06-12T17:32:45;2022-06-12T16:25:17;2022-06-12T09:58:14;Cheese;synthesizing
5;17002;90156;5961;50178;2022-06-13T05:37:52;2022-06-12T15:52:34;2022-06-12T21:29:23;feed Dollar;virtual Ohio
6;68197;44390;97071;38086;2022-06-12T08:15:12;2022-06-13T07:21:48;2022-06-12T17:55:28;Hawaii;throughput program Avon
7;92402;68764;93665;82477;2022-06-13T00:22:42;2022-06-12T19:39:43;2022-06-12T23:01:02;CSS Savings haptic;intuitive AI
8;49873;58747;29986;18308;2022-06-13T02:09:55;2022-06-12T11:05:09;2022-06-12T15:38:22;JBOD;secured Shoes
9;4952;70676;87387;92633;2022-06-12T09:41:04;2022-06-12T21:09:13;2022-06-13T04:31:36;invoice Congo;initiatives Wooden
10;79192;45284;52806;8782;2022-06-12T08:43:44;2022-06-13T05:52:13;2022-06-12T11:25:21;Coordinator;Checking Health
