id;quantity;product_id;price;created_time;updated_time;created_by;updated_by
1;29334;59958;18406;2022-06-12T18:54:36;2022-06-12T18:52:18;synergies Station website;Supervisor Plastic
2;71750;83090;1710;2022-06-13T03:28:11;2022-06-12T21:55:41;Cook;Plastic
3;58041;80275;88275;2022-06-13T05:42:42;2022-06-12T19:27:10;IB Clothing;orange
4;23392;53997;14446;2022-06-13T05:32:04;2022-06-12T17:13:19;disintermediate circuit;communities
5;70014;30536;6037;2022-06-12T16:21:03;2022-06-12T16:25:14;overriding disintermediate;synthesizing Eritrea payment
6;8027;91041;5713;2022-06-12T12:54:29;2022-06-12T18:30:25;connecting Plastic Savings;Gorgeous olive
7;91930;85870;90570;2022-06-12T10:21:59;2022-06-13T03:34:11;calculate;compress copying District
8;77007;58913;30019;2022-06-12T17:56:52;2022-06-12T14:34:45;Communications;viral Unbranded Dirham
9;20461;25769;38738;2022-06-13T06:08:14;2022-06-12T22:12:57;withdrawal enterprise;Computer Brand
10;62356;28298;17173;2022-06-12T17:40:28;2022-06-12T14:44:13;primary white Lake;set
